亮	365335
客	365015
照	364887
乱	364612
易	363742
這	361872
足	358531
依	358111
黄	357566
修	357552
破	356892
台	356610
會	355265
球	354935
呀	354926
院	354468
送	352201
包	351670
义	351502
诉	351412
攻	350517
丝	348360
围	347264
玩	347126
待	347072
复	345907
况	345468
為	344875
楼	344844
丽	344222
痛	344145
梦	342886
呼	341918
摇	341114
期	341061
英	340475
低	340439
帝	338870
兄	338615
背	338441
持	337832
爷	337682
皇	337300
七	336203
六	334550
穿	334370
杨	333705
政	333549
运	332256
居	330299
叶	329748
热	329596
校	328442
谢	328300
曾	327642
古	327637
细	325832
产	325375
睡	324625
希	323747
速	323728
室	323595
旁	321560
另	320712
怀	319777
露	319745
异	319172
写	318780
鬼	318393
娘	318100
取	317212
式	316343
除	316025
级	315649
考	315575
建	315339
愿	314836
招	312760
饭	311878
布	311628
续	311457
程	311127
說	310226
首	310214
观	310159
朋	310124
务	309546
掉	308725
赶	308552
忽	308361
注	307209
术	305467
過	304023
甚	303472
差	302170
呵	300735
展	300465
争	299974
品	298579
兰	297793
宝	297484
個	297315
香	296716
斗	296132
著	296004
故	295232
雷	295197
念	294797
段	294497
顿	293821
角	293751
疑	293227
护	290687
闪	290265
木	288259
需	286257
调	285932
类	285923
妹	285739
爸	285244
线	284169
左	283560
游	283174
派	282929
谈	282791
激	281918
冰	281597
敌	281417
動	280772
跳	280525
支	280456
约	277205
發	276838
巴	275819
您	275791
顾	275647
肯	275419
醒	275286
臺	274770
铁	273942
抱	273922
淡	273328
造	273048
伙	273016
资	272594
群	271859
集	271694
联	271244
商	271055
号	270627
节	269317
讲	269102
掌	268795
赵	267291
麼	267104
密	266609
九	266558
病	266528
車	265692
卫	265572
米	265479
威	265454
继	265130
渐	265036
统	265003
追	264656
亚	264537
简	264428
练	264097
經	263322
基	262982
选	262436
推	261965
改	261055
開	260699
退	260424
味	260093
份	260064
举	259968
示	259677
忍	259651
历	259200
現	258682
器	257932
恐	257900
引	257817
试	257636
皮	256934
习	256627
靠	256276
导	256117
存	255735
莫	255630
志	255523
区	255521
汉	255154
右	254649
严	253371
态	252149
买	251558
幸	251284
社	251119
佛	250608
议	250190
树	250017
後	249250
止	249005
块	248892
守	247899
毛	247356
挥	246679
胡	246602
散	246538
板	245878
仅	245836
隐	245506
怒	245490
床	245375
苏	245096
料	244172
股	243131
局	242864
班	242199
图	240901
岁	240541
礼	240499
独	240489
初	240026
福	239964
顺	239648
狂	239625
默	239400
巨	239016
既	238767
松	238580
证	238571
烈	238170
否	237521
恶	237480
治	237473
缓	237272
排	236832
费	236784
拍	236778
長	236742
耳	236445
医	236330
寒	236153
哭	235868
温	235745
府	233211
担	233186
称	232893
余	232728
钟	231646
泪	231511
烟	229256
仍	228629
具	228610
忘	228573
恩	228440
毕	228363
警	228305
裡	228118
蓝	227493
宫	227353
吸	227332
陆	227239
究	226434
抓	225860
压	225289
沙	225282
救	225101
呆	224961
河	224384
迷	223805
枪	223419
组	223294
权	222544
叹	222300
孙	221966
卷	221176
查	219959
毫	218579
春	218374
察	218074
圣	217803
草	216879
较	216703
胜	216574
遇	215670
充	215571
史	215506
業	215156
堂	215029
防	213992
据	213493
猛	212389
骑	212256
土	211913
卡	211901
助	211713
京	210532
银	210486
贵	210358
永	210350
质	210136
屋	210080
须	209460
副	209078
换	208847
刺	207844
属	207831
闻	207830
境	207574
禁	207522
阴	207246
共	207069
负	206491
弄	206224
翻	206210
虎	206173
层	205878
喊	205770
逃	204558
晓	204532
座	204515
雅	203983
参	203890
射	203855
婚	203840
险	203412
於	203254
君	203030
划	203003
坚	202890
价	202738
柔	202696
超	202244
扬	201872
科	201783
按	201596
狠	201420
野	200870
秦	200804
秘	200653
沒	200278
無	200127
熟	200089
置	200021
仙	199876
模	199642
伸	199323
波	199008
肉	198852
假	198751
齐	198394
舞	198305
脱	197700
广	197521
姑	197512
麻	197237
投	197004
顶	196132
致	195296
责	195280
景	194797
营	194712
维	194623
设	194612
電	193167
坏	192715
啦	192591
秀	191805
败	191777
眉	191225
州	191142
药	190553
承	190487
對	190393
案	190318
狼	189851
专	189758
偷	189637
画	189527
兒	188880
吴	188713
店	187851
哦	187709
弹	187507
食	186073
欲	185965
抬	185845
标	185699
秋	185662
厉	185579
良	185492
际	185431
状	185310
烦	184863
午	184808
當	184492
摆	183981
戏	183069
桌	182316
船	182101
短	181992
村	181191
實	180961
某	180674
摸	180346
付	180216
演	179825
规	179758
萧	179732
封	179652
握	179547
田	179083
唐	178973
藏	178916
震	178451
混	178350
虚	177618
透	177158
纪	176920
凌	176764
頭	176473
休	176188
嘛	176172
氣	176120
梅	175750
紫	175217
歌	175157
临	174991
毒	174668
宗	173601
索	173417
印	172824
寻	172808
湖	172647
進	172640
劲	172592
樣	172287
职	172099
技	171983
恨	171842
婆	171685
間	171126
杰	171040
羽	169802
咱	169371
素	168955
凡	168750
值	168731
飘	168564
养	168440
體	168100
嘿	168095
普	167325
宁	166772
吓	166660
兽	166090
夏	165864
读	165149
街	165138
牛	165089
仿	165006
胸	164969
浪	164783
富	164513
尚	164216
宇	163917
骨	163670
智	163516
纷	162302
升	161991
叔	161467
善	160848
弱	160795
架	160467
卖	160078
袋	160039
网	160030
朱	159463
骂	159309
雄	159090
赛	158965
略	158938
杯	158925
施	158872
墙	158720
环	158493
罪	158467
牙	158366
窗	157053
柳	156926
厅	156663
搞	156572
端	155938
洞	155616
适	155412
拥	155355
释	155203
洋	154608
肩	154150
魂	153782
闹	153357
蒙	153287
洗	152928
灯	152845
借	152634
伯	152316
免	152284
菜	152117
验	152063
凤	151905
鱼	151788
徐	151399
型	150986
娜	150904
暴	150683
亡	150659
媽	150599
親	150499
讨	148651
辈	148517
懂	148223
腿	148000
灭	147940
妙	147720
效	147438
危	147436
优	147285
盘	147259
套	146783
丁	146775
趣	146746
妖	146551
束	146435
杂	146261
诗	146179
迎	145820
舍	145783
旧	144981
彩	144759
委	144499
挂	144297
笔	144264
灣	144194
狗	144023
鲜	143833
纸	143818
機	143791
抗	143704
探	143641
韩	143574
尼	143413
控	143149
惜	143101
珠	143096
抽	142620
创	142438
归	142369
挺	142134
奋	142094
見	141874
陪	141770
硬	141207
避	141201
园	140971
托	140922
训	140783
勇	140462
聊	139899
奶	139786
庄	139551
奔	139492
镇	139342
拳	139334
采	139125
研	138962
場	138899
配	138050
介	137884
尊	137470
冒	136165
虑	135776
敬	134775
丹	134705
舒	134587
蛋	134581
哼	134501
宋	134484
济	134352
問	134107
妇	134060
箭	133971
择	133935
犯	133871
欣	133704
甲	133581
欧	133562
课	133450
扑	133177
菲	133077
燕	132476
曲	131775
躲	131405
玄	131300
幻	131079
茶	131069
折	130942
伊	130866
傻	130753
姓	130749
源	130622
洛	130583
遍	130571
臣	130296
還	130274
弃	130263
犹	130010
占	129737
漂	129570
挑	129528
获	129452
绿	129317
峰	129131
俊	129022
疯	128939
列	128705
森	128381
妻	128343
恋	128309
误	128257
拜	128004
伟	127994
移	127947
纳	127805
党	127749
罢	127672
腰	127456
巧	127452
孤	127392
闭	127232
圆	126679
碰	126658
镜	126288
软	126183
厚	125934
累	125843
昨	125815
幽	125751
悲	125647
點	125533
丈	125407
牌	124931
降	124700
颜	124536
劳	124491
偏	124422
省	124287
糊	124274
馆	124272
烧	124224
谓	124164
财	124150
舰	124138
汗	123948
奈	123929
種	123919
操	123880
迹	123299
風	123213
尸	123170
悄	123153
残	122690
尖	122597
鲁	122563
锋	122490
圈	122341
油	121790
俩	121709
資	121599
项	121563
撞	121536
瞬	121499
忆	121095
盖	120995
尤	120729
徒	120401
乡	120141
概	119995
户	119680
荡	119468
艺	119116
增	119111
樂	119027
祖	118954
關	118624
困	118596
殿	118544
迅	118529
横	118462
范	118406
書	117817
律	117806
番	117633
企	117385
惨	117383
限	117378
聚	117147
含	117120
凭	116639
師	116606
剧	116355
產	116304
碎	116063
躺	115905
缘	115806
凉	115663
腾	115650
织	115343
抢	115332
预	115237
沈	115112
替	115085
孔	115037
批	114959
康	114788
惑	114739
唯	114658
率	114607
惯	114224
登	113755
互	113507
觀	113479
盯	113263
稍	113132
宣	113095
唱	113081
诚	113079
剩	113007
咬	112851
育	112840
诸	112780
触	112316
晨	112295
策	112276
疼	112272
漫	112271
材	112095
补	111932
私	111930
吐	111927
纯	111817
艾	111688
贝	111541
變	111462
谷	111426
庭	111357
挡	111328
晃	111107
吉	111075
聲	110907
從	110604
吹	110522
仔	110182
仇	110070
凝	110058
鼓	109933
农	109916
席	109778
征	109606
帅	109565
附	109403
缺	109316
塞	108974
豪	108829
亦	108167
杜	108011
努	107916
判	107858
谋	107826
胆	107808
尘	107704
扎	107659
許	107629
滚	107422
闷	107200
迟	107165
稳	107163
翼	107119
诺	107015
闲	106912
門	106872
灰	106811
朵	106607
盛	106435
梁	106245
晶	106059
餐	105911
應	105359
爆	105334
伦	105158
娇	105072
侧	104878
愣	104659
東	104552
鼻	104300
話	103947
轮	103935
